,reference_id,weapon_name,itemTypeDisplayName,itemTypeAndTierDisplayName,itemType,itemSubType,tierTypeName,equipmentSlotTypeHash,itemCategoryHashes,levels,loreHash_list
43,40512774,Farseeker's Casque,Helmet,Rare Helmet,2,26,Rare,3448274439.0,"[21, 45, 20]","[33, 32, 30, 29, 20, 19, 17, 15, 13, 11, 9, 7, 5, 4, 3, 2, 0]",
44,44084248,Weapon Stats Armor Mods,,,0,0,Rare,,[],,
45,46275857,Walker's Warp,Emblem,Legendary Emblem,14,0,Legendary,4274335291.0,"[19, 52]",[0],
46,47331417,,Material,Common Material,20,0,Common,,[3109687656],,
47,47981717,Opening Shot,Trait,Legendary Trait,19,0,Legendary,,"[3708671066, 610365472, 59]",,
48,48361212,Controlling Vision,Sidearm,Legendary Sidearm,3,17,Legendary,1498876634.0,"[2, 1, 14]",,
49,48361213,Eleventh Hour,Sidearm,Legendary Sidearm,3,17,Legendary,2465295065.0,"[3, 1, 14]","[33, 1]",
50,49145143,Simulation Seed,Redeemable,Uncommon Redeemable,9,0,Uncommon,,"[2088636411, 35, 52]",[0],
51,49421814,Midnight Sun,Warlock Ornament,Exotic Warlock Ornament,19,21,Exotic,,"[56, 52, 59, 3684181176, 1742617626, 4104513227]","[1, 0]",
52,52780822,Balanced Guard,Guard,Legendary Guard,19,18,Legendary,,"[54, 3072652064, 610365472, 59]",,
53,53055940,,,,0,0,Common,,[],,
54,53159280,Traveler's Chosen,Sidearm,Common Sidearm,3,17,Common,1498876634.0,"[2, 1, 14]",[10],
55,53159281,Traveler's Chosen (Damaged),Sidearm,Common Sidearm,3,17,Common,1498876634.0,"[2, 1, 14]",[0],
56,53480798,Experimental Treatment,,,0,0,,,[],[0],
57,59990642,Refugee Plate,Chest Armor,Common Chest Armor,2,28,Common,14239492.0,"[22, 47, 20]","[20, 18, 16, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 0]",
58,60002467,Meditations,Quest,Quest,15,0,,,[53],,
59,60553218,Armor,,,0,0,Common,,[],,
60,60867488,"""A Garden World""",,,0,0,,,[],[0],
61,61430328,EDZ Rewards,,,20,0,Common,,[3109687656],[0],
62,62776458,Trials Ornament,Armor Ornament,Legendary Armor Ornament,19,21,Legendary,,"[56, 52, 59, 3229540061, 1742617626, 4104513227]",[0],
63,63024229,Star of Dark Nights,Vehicle,Legendary Vehicle,22,0,Legendary,2025709351.0,"[43, 52]",[1],
64,66235782,Anti-Extinction Grasps,Gauntlets,Legendary Gauntlets,2,27,Legendary,3551918588.0,"[23, 46, 20]","[33, 1, 0]",
65,66383463,Improved Nessus Cache Detector,Ghost Module,Common Ghost Module,19,0,Common,,"[59, 4176831154, 1449602859]",,
66,67350175,Premeditation,,,0,0,,,[],[0],
67,68113745,Base Magazine,Magazine,Legendary Magazine,19,0,Legendary,,"[4184407433, 610365472, 59]",,
68,68357813,Ophidian Aspect,Gauntlets,Exotic Gauntlets,2,27,Exotic,3551918588.0,"[21, 46, 20]","[33, 32, 31, 30, 29, 27, 20, 1, 0]",68357813.0
69,70977401,Arc Impact Mod,Warlock Bond Mod,Rare Warlock Bond Mod,19,0,Rare,,"[59, 4104513227, 3196106184, 2955376534]",[1],
70,71603056,Trials of the Nine,,,0,0,,,[],[0],
71,75112946,Rare Gear,,,20,0,Rare,,[3109687656],,
72,75621677,Daily: Iron Banner,,,0,0,,,[],[0],
73,76554114,Cry Defiance,Gauntlets,Uncommon Gauntlets,2,27,Uncommon,3551918588.0,"[21, 46, 20]","[33, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 3, 2, 1, 0]",
74,78248069,Mercury Armor,Armor Set,Legendary Armor Set,0,0,Legendary,,[2423200735],[20],
75,81809761,Masterwork Armor,,,19,0,Legendary,,"[59, 141186804]",,
76,82550967,Leviathan,Quest,Quest,15,0,,,[53],[0],
77,83898430,Scavenger Suit,Leg Armor,Uncommon Leg Armor,2,29,Uncommon,20886954.0,"[23, 48, 20]","[33, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 3, 2, 1, 0]",
78,84956989,,,,0,0,Common,,[],,
79,85434437,,,,0,0,Common,,[],,
80,85546655,Trials Prestige Ornament,Armor Ornament,Legendary Armor Ornament,19,21,Legendary,,"[56, 52, 59, 3683250363, 1742617626, 4104513227]",[0],
81,87646118,Endless Glory,Shader,Legendary Shader,19,20,Legendary,,"[41, 52]",[1],
82,87782468,A Gift for the Clan Overseer,,,0,0,,,[],[0],
83,87986588,GB Iron,Sight,Legendary Sight,19,0,Legendary,,"[3866509906, 610365472, 59]",,
84,87986589,GA Post,Sight,Legendary Sight,19,0,Legendary,,"[3866509906, 610365472, 59]",,
85,89175653,Noble Constant Mark,Titan Mark,Legendary Titan Mark,2,30,Legendary,1585787867.0,"[22, 49, 20]","[33, 1, 0]",1258969680.0
86,89965904,Pintail Ghost,Ghost Shell,Legendary Ghost Shell,24,0,Legendary,4023194814.0,[39],"[1, 0]",
87,89965905,Iris Map Shell,Ghost Shell,Legendary Ghost Shell,24,0,Legendary,4023194814.0,[39],"[1, 0]",
88,89965906,Viceroy Shell,Ghost Shell,Legendary Ghost Shell,24,0,Legendary,4023194814.0,[39],"[1, 0]",
89,89965907,Upward Climber Shell,Ghost Shell,Legendary Ghost Shell,24,0,Legendary,4023194814.0,[39],"[1, 0]",
90,89965908,Captaincy Shell,Ghost Shell,Legendary Ghost Shell,24,0,Legendary,4023194814.0,[39],"[1, 0]",
91,89965909,Precious Metals Shell,Ghost Shell,Legendary Ghost Shell,24,0,Legendary,4023194814.0,[39],"[1, 0]",
92,89965910,Kaleidoscope Shell,Ghost Shell,Legendary Ghost Shell,24,0,Legendary,4023194814.0,[39],"[1, 0]",
93,89965911,In Fine Omnium Shell,Ghost Shell,Legendary Ghost Shell,24,0,Legendary,4023194814.0,[39],"[1, 0]",
94,89965918,Orchid Shell,Ghost Shell,Legendary Ghost Shell,24,0,Legendary,4023194814.0,[39],"[1, 0]",
95,89965919,Yellowspear Shell,Ghost Shell,Legendary Ghost Shell,24,0,Legendary,4023194814.0,[39],"[1, 0]",
96,90980462,Ships,,,0,0,Common,,[],,
97,91289429,Atonement Tau,Chest Armor,Rare Chest Armor,2,28,Rare,14239492.0,"[21, 47, 20]","[33, 32, 30, 29, 20, 19, 17, 15, 13, 11, 9, 7, 5, 4, 3, 2, 1, 0]",
98,93029342,Flip Out,Emote,Exotic Emote,23,0,Exotic,3224618069.0,[44],"[1, 0]",
99,93029343,Salty,Emote,Exotic Emote,23,0,Exotic,3224618069.0,[44],"[1, 0]",
100,94729174,Gunnora's Axe,Shotgun,Legendary Shotgun,3,7,Legendary,953998645.0,"[4, 1, 11]","[33, 20, 1]",
101,95988838,Letter Fragment,Journal Fragments,Common Journal Fragments,9,0,Common,,"[3747263590, 35, 52]",[0],
102,96858972,Ego and Squid,Ship,Exotic Ship,21,0,Exotic,284967655.0,"[42, 52]","[1, 0]",1006492270.0
103,96858973,Ordinate/VD,Ship,Legendary Ship,21,0,Legendary,284967655.0,"[42, 52]","[1, 0]",
104,97626271,"Echo Mesa, Io Armor",Armor Set,Legendary Armor Set,0,0,Legendary,,[2423200735],[20],
105,98642858,Scavenged Explosives,,,0,0,Common,,[],,
106,100282762,Illuminated Engram,Bright Engram,Legendary Bright Engram,20,0,Legendary,,[3109687656],[1],
107,103198652,,,,0,0,Common,,[],,
108,103219604,Omni-Telemetry,Intrinsic,Exotic Intrinsic,19,0,Exotic,,"[59, 2237038328, 610365472]",,
109,106359434,Coronation Mark,Titan Mark,Legendary Titan Mark,2,30,Legendary,1585787867.0,"[22, 49, 20]","[33, 1, 0]",
110,106909392,Tactical Mag,Magazine,Legendary Magazine,19,0,Legendary,,"[4184407433, 610365472, 59]",,
111,107582877,Kerak Type 2,Gauntlets,Legendary Gauntlets,2,27,Legendary,3551918588.0,"[22, 46, 20]","[33, 32, 30, 29, 21, 20, 1]",
112,113124080,Contender's Shell,Ghost Shell,Exotic Ghost Shell,24,0,Exotic,4023194814.0,[39],[0],1568631659.0
113,114887354,His Highness's Seal,Quest Step,Legendary Quest Step,12,0,Legendary,,[16],[0],
114,121382562,Ankaa Friend Ornament,Armor Ornament,Legendary Armor Ornament,19,21,Legendary,,"[56, 52, 59, 3684181176, 1742617626, 4104513227]",[0],
115,124410141,Shadow Specter,Gauntlets,Rare Gauntlets,2,27,Rare,3551918588.0,"[23, 46, 20]","[33, 32, 30, 29, 20, 19, 17, 15, 13, 11, 9, 7, 5, 4, 3, 2, 0]",
116,124696333,Iron Truage Vestments,Chest Armor,Legendary Chest Armor,2,28,Legendary,14239492.0,"[21, 47, 20]","[33, 1, 0]",
117,126751649,,,,0,0,Common,,[],,
118,130281579,,Chest Armor,Legendary Chest Armor,20,28,Legendary,14239492.0,"[47, 20, 3109687656]",,
119,130823332,Classified,,,0,0,,,,,
120,132368575,Anti-Extinction Mask,Helmet,Legendary Helmet,2,26,Legendary,3448274439.0,"[23, 45, 20]","[33, 1, 0]",
121,136135877,,,,0,0,Common,,[],,
122,137367657,Xenos Shore Ornament,Armor Ornament,Legendary Armor Ornament,19,21,Legendary,,"[56, 52, 59, 3684181176, 1742617626, 4104513227]",[0],
123,137713267,Refugee Vest,Chest Armor,Common Chest Armor,2,28,Common,14239492.0,"[21, 47, 20]","[20, 18, 16, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 0]",
124,137879537,Curtain Call,Rocket Launcher,Legendary Rocket Launcher,3,10,Legendary,953998645.0,"[4, 1, 13]","[33, 1, 0]",
125,140100789,Letter Fragment,Journal Fragments,Common Journal Fragments,9,0,Common,,"[3747263590, 35, 52]",[0],
126,140868464,,Chest Armor,Legendary Chest Armor,20,28,Legendary,14239492.0,"[47, 20, 3109687656]",,
127,142871499,"Lost Prophecy, Verse 9",Prophecy Tablet,Legendary Prophecy Tablet,9,0,Legendary,,"[2250046497, 35, 52]",[0],
128,143865280,Dead Orbit Engram,Engram,Legendary Engram,0,0,Legendary,,[],,
129,145499294,Arc Paragon Mod,Chest Armor Mod,Legendary Chest Armor Mod,19,0,Legendary,,"[59, 3723676689, 4104513227]","[1, 0]",
130,145766606,Solar Ordnance Mod,Titan Mark Mod,Legendary Titan Mark Mod,19,0,Legendary,,"[59, 4104513227, 3196106184, 1650311619]","[1, 0]",
131,146432385,Classified,,,0,0,,,,,
132,146512593,,,,0,0,Common,,[],,
133,147165546,Sovereign Legs,Leg Armor,Legendary Leg Armor,2,29,Legendary,20886954.0,"[21, 48, 20]","[33, 1, 0]",
134,148664963,Savathûn's Song,Emblem,Legendary Emblem,14,0,Legendary,4274335291.0,"[19, 52]",[0],
135,151776008,,,,0,0,Common,,[],,
136,152970995,Leviathan Armor,Armor Set,Legendary Armor Set,0,0,Legendary,,[2423200735],[20],
137,153589813,Omega Mechanos Robes,Chest Armor,Legendary Chest Armor,2,28,Legendary,14239492.0,"[21, 47, 20]","[1, 0]",
138,154054006,Impact Absorption Mod,Titan Mark Mod,Legendary Titan Mark Mod,19,0,Legendary,,"[59, 3196106184, 4104513227, 1650311619]","[1, 0]",
139,155063974,Ikora Rey,,,0,0,,,[],[0],
140,155832748,Icarus Drifter Mask,Helmet,Legendary Helmet,2,26,Legendary,3448274439.0,"[23, 45, 20]","[33, 32, 30, 29, 21, 20, 1]",
141,157476369,Crucible Armor,Armor Set,Legendary Armor Set,0,0,Legendary,,[2423200735],[20],
142,158070266,,,,0,0,Common,,[],,
143,158503073,,,,0,0,Common,,[],,
144,158818624,A Gift for the Titan Vanguard,,,0,0,,,[],[0],
145,159003722,The Fall Will Kill You,Quest Step,Legendary Quest Step,12,0,Legendary,,[16],[0],
146,160388292,Kerak Type 2,Helmet,Legendary Helmet,2,26,Legendary,3448274439.0,"[22, 45, 20]","[33, 32, 30, 29, 21, 20, 1]",
147,161537636,Machina Dei 4,Pulse Rifle,Legendary Pulse Rifle,3,13,Legendary,1498876634.0,"[2, 1, 7]","[33, 1]",161537636.0
148,161537637,Infinite Paths 8,Pulse Rifle,Legendary Pulse Rifle,3,13,Legendary,2465295065.0,"[3, 1, 7]","[33, 1]",161537637.0
149,163476113,Dawning's Gift Schematic: Banshee,Quest Step,Legendary Quest Step,12,0,Legendary,,[16],[0],
150,167651268,Crimson Passion,Shader,Legendary Shader,19,20,Legendary,,"[41, 52]",,
151,168268909,Masterwork Armor,,,19,0,Legendary,,"[59, 141186804]",,
152,172191109,,,,0,0,Common,,[],,
153,174804902,The Long Walk,Sniper Rifle,Legendary Sniper Rifle,3,12,Legendary,953998645.0,"[4, 1, 10]","[33, 20, 1]",174804903.0
154,174910288,Mark of Inquisition,Titan Mark,Rare Titan Mark,2,30,Rare,1585787867.0,"[22, 49, 20]","[33, 32, 30, 29, 20, 19, 17, 15, 13, 11, 9, 7, 5, 4, 3, 2, 0]",
155,176294371,,,,0,0,Common,,[],,
156,176919422,For the Empire,Trait,Legendary Trait,19,0,Legendary,,"[3708671066, 610365472, 59]",,
157,177215556,Shadow Specter,Helmet,Rare Helmet,2,26,Rare,3448274439.0,"[23, 45, 20]","[33, 32, 30, 29, 20, 19, 17, 15, 13, 11, 9, 7, 5, 4, 3, 2, 0]",
158,177493699,Exodus Down,Chest Armor,Legendary Chest Armor,2,28,Legendary,14239492.0,"[22, 47, 20]","[33, 1, 0]",
159,181523335,Stop and Go,,,0,0,Common,,[],[0],
160,182285650,Kit Fox 1.5,Helmet,Uncommon Helmet,2,26,Uncommon,3448274439.0,"[23, 45, 20]","[33, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 3, 2, 1, 0]",
161,183980811,Crucible Token,Redeemable,Uncommon Redeemable,9,0,Uncommon,,"[2088636411, 35, 52]","[1, 0]",
162,184093740,,Gauntlets,Legendary Gauntlets,20,27,Legendary,3551918588.0,"[22, 46, 20, 3109687656]",,
163,185326970,Noble Constant Type 2,Leg Armor,Legendary Leg Armor,2,29,Legendary,20886954.0,"[22, 48, 20]","[33, 1, 0]",
164,186342757,Dawning's Gift: Hawthorne,Quest,Quest,15,0,,,[53],[0],
165,187052653,Solar Ordnance Mod,Leg Armor Mod,Legendary Leg Armor Mod,19,0,Legendary,,"[59, 3607371986, 4104513227]","[1, 0]",
166,194191203,Faction Rallies,,,0,0,,,[],[0],
167,194952921,Transmission MS7,Scope,Legendary Scope,19,0,Legendary,,"[2411768833, 610365472, 59]",,
168,194952922,Impulse MS3,Scope,Legendary Scope,19,0,Legendary,,"[2411768833, 610365472, 59]",,
169,194952923,Signal MS5,Scope,Legendary Scope,19,0,Legendary,,"[2411768833, 610365472, 59]",,
170,196262240,Relics of the Golden Age,Quest Step,Legendary Quest Step,12,0,Legendary,,[16],[0],
171,196262241,Talk to Tyra Karn,Quest Step,Legendary Quest Step,12,0,Legendary,,[16],[0],
172,196262242,Relics of the Golden Age,Quest Step,Legendary Quest Step,12,0,Legendary,,[16],[0],
173,196262243,Talk to the Cryptarch,Quest Step,Legendary Quest Step,12,0,Legendary,,[16],[0],
174,196262246,Relics of the Golden Age,Quest Step,Legendary Quest Step,12,0,Legendary,,[16],[0],
175,196262247,Talk to Tyra Karn,Quest Step,Legendary Quest Step,12,0,Legendary,,[16],[0],
176,197761152,Mask of the Quiet One,Helmet,Exotic Helmet,2,26,Exotic,3448274439.0,"[22, 45, 20]","[33, 32, 31, 30, 29, 27, 20, 1, 0]",197761152.0
177,197761153,An Insurmountable Skullfort,Helmet,Exotic Helmet,2,26,Exotic,3448274439.0,"[22, 45, 20]","[33, 32, 31, 30, 29, 27, 20, 1, 0]",197761153.0
178,199421974,,,,0,0,Common,,[],,
179,199852048,Robes of Optimacy,Chest Armor,Legendary Chest Armor,2,28,Legendary,14239492.0,"[21, 47, 20]","[1, 0]",
180,200707795,Classified,,,0,0,,,,,
181,202347272,,,,0,0,Common,,[],,
182,202670084,Full Bore,Barrel,Legendary Barrel,19,0,Legendary,,"[3085181971, 610365472, 59]",,
183,203317967,Fieldplate Type 10,Gauntlets,Uncommon Gauntlets,2,27,Uncommon,3551918588.0,"[22, 46, 20]","[33, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 3, 2, 1, 0]",
184,204918711,Shadow Dance,Emote,Legendary Emote,23,0,Legendary,3224618069.0,[44],[0],
185,205720007,EDZ Engram,Engram,Legendary Engram,0,0,Legendary,,[],[0],
186,207302109,,Leg Armor,Legendary Leg Armor,20,29,Legendary,20886954.0,"[48, 20, 3109687656]",,
187,207641887,Nightfall Access,,,20,0,Common,,[3109687656],,
188,208020061,Iron Pledge Ornament,Armor Ornament,Legendary Armor Ornament,19,21,Legendary,,"[56, 52, 59, 3229540061, 1742617626, 4104513227]",[0],
189,212482482,Enemy of My Enemy,Quest,Quest,15,0,,,[53],,
190,213655744,Relics of the Golden Age,,,0,0,Common,,[],,
191,215511412,,,,0,0,Common,,[],,
192,215596672,Giving,Emote,Exotic Emote,23,0,Exotic,3224618069.0,[44],"[1, 0]",
193,216037026,"""Six""",,,0,0,,,[],[0],
194,216781713,Häkke Precision Frame,Intrinsic,Exotic Intrinsic,19,0,Exotic,,"[2237038328, 610365472, 59]",,
195,221164696,Quilted Winter Mark,Titan Mark,Legendary Titan Mark,2,30,Legendary,1585787867.0,"[22, 49, 20]","[33, 1]",
196,221164697,Winterhart Mark,Titan Mark,Legendary Titan Mark,2,30,Legendary,1585787867.0,"[22, 49, 20]","[1, 0]",
197,223308216,Vanguard Magnus,Shader,Rare Shader,19,20,Rare,,"[41, 52]",[1],
198,224198011,Trials of the Nine Armor,Armor Set,Legendary Armor Set,0,0,Legendary,,[2423200735],[20],
199,224985500,Sloane,,,0,0,,,[],[0],
200,225636752,,,,0,0,Common,,[],,
201,226227391,Fortress Field,Chest Armor,Uncommon Chest Armor,2,28,Uncommon,14239492.0,"[22, 47, 20]","[33, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 3, 2, 1, 0]",
202,227548887,Interregnum XVI,Sidearm,Legendary Sidearm,3,17,Legendary,2465295065.0,"[3, 1, 14]","[33, 20, 1]",
203,227756207,Hard Light,Trace Rifle,Exotic Trace Rifle,20,25,Exotic,2465295065.0,"[2489664120, 3109687656]",,
204,228424224,Impromptu-49,Pulse Rifle,Legendary Pulse Rifle,3,13,Legendary,2465295065.0,"[3, 1, 7]","[33, 1]",
205,229821046,Wrecked Titan Greaves,Leg Armor,Common Leg Armor,2,29,Common,20886954.0,"[22, 48, 20]",[0],
206,229923140,Gensym Knight Gloves,Gauntlets,Legendary Gauntlets,2,27,Legendary,3551918588.0,"[21, 46, 20]","[33, 1, 0]",
207,234374949,Welcome to Crimson Days,Quest,Quest,15,0,,,[53],[0],
208,234415107,Damaged Warlock Gloves,Gauntlets,Common Gauntlets,2,27,Common,3551918588.0,"[21, 46, 20]",[0],
209,236058067,,,,0,0,Common,,[],,
210,236077174,Masterwork Upgrade,,,19,0,Common,,"[59, 141186804]",,
211,236340393,Meditations,Quest,Quest,15,0,,,[53],,
212,237827170,Speak to Ikora in the Tower.,,,0,0,,,[],[0],
213,238320914,Cloak Relentless,Hunter Cloak,Legendary Hunter Cloak,2,30,Legendary,1585787867.0,"[23, 49, 20]",[20],238320914.0
214,238320915,Cloak Judgment,Hunter Cloak,Legendary Hunter Cloak,2,30,Legendary,1585787867.0,"[23, 49, 20]","[33, 1]",238320915.0
215,238766140,Brave Titan Greaves,Leg Armor,Common Leg Armor,2,29,Common,20886954.0,"[22, 48, 20]",[10],
216,238898901,Moonrider Zero,Vehicle,Uncommon Vehicle,22,0,Uncommon,2025709351.0,"[43, 52]","[20, 0]",
217,238898902,Starchaser Zero,Vehicle,Uncommon Vehicle,22,0,Uncommon,2025709351.0,"[43, 52]","[20, 0]",
218,238898903,Wayfarer Zero,Vehicle,Uncommon Vehicle,22,0,Uncommon,2025709351.0,"[43, 52]","[20, 0]",
219,239489770,Bond of Sekris,Warlock Bond,Legendary Warlock Bond,2,30,Legendary,1585787867.0,"[21, 49, 20]","[33, 32, 31, 30, 27, 0]",239489770.0
220,240692026,,Gauntlets,Legendary Gauntlets,20,27,Legendary,3551918588.0,"[46, 20, 3109687656]",,
221,244941572,,Gauntlets,Legendary Gauntlets,20,27,Legendary,3551918588.0,"[46, 20, 3109687656]",,
222,246238708,European Dead Zone Armor,Armor Set,Legendary Armor Set,0,0,Legendary,,[2423200735],[20],
223,246765359,Mythos Hack 4.1,Leg Armor,Rare Leg Armor,2,29,Rare,20886954.0,"[23, 48, 20]","[33, 32, 30, 29, 20, 19, 17, 15, 13, 11, 9, 7, 5, 4, 3, 2, 1, 0]",
224,250575297,Trials Engram,Engram,Legendary Engram,0,0,Legendary,,[],"[20, 0]",
225,253344425,Mask of Feltroc,Helmet,Legendary Helmet,2,26,Legendary,3448274439.0,"[23, 45, 20]","[33, 32, 31, 30, 27, 0]",253344425.0
226,254156943,Dead Zone Rifle,Sniper Rifle,Common Sniper Rifle,3,12,Common,953998645.0,"[4, 1, 10]","[33, 20, 18, 16, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",
227,254504851,Guardian Effects,Transmat Effect,Rare Transmat Effect,20,0,Rare,,"[208981632, 177260082, 59, 3109687656]",,
228,255819671,Meditations,Quest,Quest,15,0,,,[53],,
229,257012452,Mercury Armor,Armor Set,Legendary Armor Set,0,0,Legendary,,[2423200735],[20],
230,260521462,Blowing a Kiss,Emote,Rare Emote,23,0,Rare,3224618069.0,[44],"[1, 0]",
231,261110022,Interchange Shell,Ghost Shell,Legendary Ghost Shell,24,0,Legendary,4023194814.0,[39],"[1, 0]",
232,261110023,Half-Submerged Shell,Ghost Shell,Legendary Ghost Shell,24,0,Legendary,4023194814.0,[39],"[1, 0]",
233,261110024,Bold Shell,Ghost Shell,Legendary Ghost Shell,24,0,Legendary,4023194814.0,[39],"[1, 0]",
234,261110025,Two of Diamonds Shell,Ghost Shell,Legendary Ghost Shell,24,0,Legendary,4023194814.0,[39],"[1, 0]",
235,261110026,Honeycomb Shell,Ghost Shell,Legendary Ghost Shell,24,0,Legendary,4023194814.0,[39],"[1, 0]",
